cmt_col,labels,length,processed_text
Tới công chiện ó chớ xin lỗi,0.0,28,tới công chiện ó chớ xin_lỗi
O lại đi vn có tiện nhiều lam ngồi đở ăn cả đời ko ht dau,0.0,57,o lại đi vn có tiện nhiều lam ngồi đở ăn cả đời không ht dau
"Nguyễn An Huy mắt m lé à nhóc, mở mắt to ra tìm cmt đi con, thằng đần độn ngu si",2.0,80,"nguyễn an huy mắt m lé à nhóc , mở_mắt to ra tìm cmt đi con , thằng đần_độn ngu_si"
Đây mí là fb thật nhé ae,0.0,24,đây mí là fb thật nhé anh_em
Xin lỗi cái địt con mẹ mày,2.0,26,xin_lỗi cái địt con_mẹ mày
Phạm Minh Tuấn cày vew nhiều quá mà. Nghe 1 lần là bt như nào r,0.0,63,phạm minh tuấn cày vew nhiều quá mà . nghe 1 lần là bình_thường như nào r
Tú đã sẵn sàng,0.0,14,tú đã sẵn_sàng
nó ăn lương của nhà nước chưa no nó còn ăn cướp nữa mới đầy túi,1.0,63,nó ăn lương của nhà_nước chưa no nó còn ăn_cướp nữa mới đầy túi
Chửi xong rồi khóc như chó năn nỉ công đồng,1.0,43,chửi xong rồi khóc như chó năn_nỉ công đồng
Bùi Nga Quỳnh Anh chán chị :(,0.0,29,bùi nga quỳnh anh chán chị : (
Lũ chó chết. Đkm loạn mẹ nó rồi. Xh như lồn,2.0,43,lũ chó chết . đkm loạn mẹ nó rồi . xh như lồn
"Thứ này t thề bắt được, phải bẻ tay hoặc chân nó, k bao giờ t có lòng từ bi với loại này",2.0,88,"thứ này t_thề bắt được , phải bẻ tay hoặc chân nó , không bao_giờ t có lòng từ_bi với loại này"
câm cái mồm thối của mày vàoooo,1.0,31,câm cái mồm thối của mày vàoooo
đít xanh đít đỏ ăn ns lấc cấc,2.0,29,đít xanh đít đỏ ăn_nói lấc_cấc
má mày,1.0,6,má mày
"quan cs ở xứ thiên đường thuộc bài kinh luôn ,mở mồm là "" ơn đảng ,ơn chính phủ..."" còn thằng quan tư bổn giãy hoài ko chết cũng thuộc bài luôn nhưng bài của nó là "" tôi xin chịu trách nhiệm ,tôi xin từ chức... """,1.0,212,"quan cs ở xứ thiên_đường thuộc bài kinh luôn , mở mồm là "" ơn đảng , ơn chính_phủ ... "" còn thằng quan tư bổn giãy hoài không chết cũng thuộc bài luôn nhưng bài của nó là "" tôi xin chịu trách_nhiệm , tôi xin từ_chức ... """
Duy Trinh nói vậy củng chưa đúng hãy xem lại cách cô gái này đứng nói chuyện với hai thanh niên nhiều lần sẽ nhận ra có cái gì rất lạ mà cô gái bình thường tiếp chuyện sẽ không có,0.0,179,duy trinh nói vậy củng chưa đúng hãy xem_lại cách cô gái này đứng nói_chuyện với hai thanh_niên nhiều lần sẽ nhận ra có cái gì rất lạ mà cô gái bình_thường tiếp_chuyện sẽ không có
nó ngu còn m cỡ nào,1.0,19,nó ngu còn m cỡ nào
xin con cac,1.0,11,xin con cac
đó là sự tinh tế kèm theo một chút vãi loz.,1.0,43,đó là sự tinh_tế kèm theo một_chút vãi loz .
"vi russ chỉ là con vi rút thôi mà, nó ko cư xử như con người được",2.0,65,"vi russ chỉ là con vi rút thôi mà , nó không cư_xử như con_người được"
Hãy biến đi đến Indonesia mà không thằng nỗi thì làm sao mà đói tham dự world cup 2026 được chứ tôi sợ là có không ăn nổi thái Lan,1.0,130,hãy biến đi đến indonesia mà không thằng nỗi thì làm_sao mà đói tham_dự world_cup 2026 được chứ tôi sợ là có không ăn nổi thái_lan
Đề nghị công an xử thẳng tay. Đồ ác độc quá mình muốn sống mà không cho người ta sống xử chạm cả 3,2.0,98,đề_nghị công_an xử thẳng_tay . đồ ác_độc quá mình muốn sống mà không cho người_ta sống xử chạm cả 3
Đớp cho lắm vào,1.0,15,đớp cho lắm vào
Tươi dị hả thầy yêu,0.0,19,tươi dị hả thầy yêu
"Ông chỉ đáng sách giày cho ông Chung,Ở pâc",1.0,42,"ông chỉ đáng sách giày cho ông chung , ở pâc"
Tưởng mèo simmy không ghê vãi,0.0,29,tưởng mèo simmy không ghê_vãi
"Thằng ml nào đang tạo acc spam vậy. Cho ăn, cho học làm chuyện tào lao.",2.0,71,"thằng ml nào đang tạo acc spam vậy . cho ăn , cho học làm chuyện tào_lao ."
thử lai trym đánh rank thách đấu đi a,0.0,37,thử lai trym đánh rank thách đấu đi a
" lam con trai giống đàn bà vậy ,đống cut nào cung thay dấu răng ,hoi sao xã hội này di xuong vi nhung thanh phan nhu vay",1.0,120,"lam con_trai giống đàn_bà vậy , đống cut nào cung thay dấu răng , hoi sao xã_hội này di_xuong vi nhung thanh phan nhu vay"
page gỉa à,0.0,10,page gỉa à
cay lắm mà del làm gi dc t nhục lắm.kkkkk,1.0,41,cay lắm mà del làm gi được t nhục lắm . kkkkk
Đừng để ném gạch vào mặt m,1.0,26,đừng để ném gạch vào mặt m
làm tí bóng bàn cho khuây khỏa đi,0.0,33,làm tí bóng_bàn cho khuây khỏa đi
Bọn súc sinh,2.0,12,bọn súc_sinh
Hãy nghe những gì ad nói và hãy ỉa vào những gì ad bost,1.0,55,hãy nghe những gì admin nói và hãy ỉa vào những gì admin bost
đóm nó sáng ở đít chứ k sáng ở đầu b ạ,1.0,38,đóm nó sáng ở đít chứ không sáng ở đầu b ạ
Đời này còn nhiều cái ngu.,1.0,26,đời này còn nhiều cái ngu .
Trên bờ: tao chửi đấy mày làm đéo gì được tao :v,1.0,48,trên bờ : tao chửi đấy mày làm đéo gì được tao : v
Bọn này nên cho vào tù,1.0,22,bọn này nên cho vào tù
Chú nghe rồi. Tin tức Việt-Nam chú cập nhật từng giờ. Thư giỏi.Có theo dõi và ưu tư về tình hình đất nước là đáng khen.,0.0,119,chú nghe rồi . tin_tức việt - nam chú cập_nhật từng giờ . thư giỏi . có theo_dõi và ưu_tư về tình_hình đất_nước là đáng khen .
Nó tới đây để giết ng chứ có phải kinh doanh mẹ j. Mấy thằng bù nhìn nhận tiền ngập bản họng cỏng rắn cắn gà nhà. Cả lũ cũng ko có kết cục j tốt dc,2.0,147,nó tới đây để giết ng chứ có phải kinh_doanh mẹ j . mấy thằng bù_nhìn_nhận tiền ngập bản họng cỏng rắn cắn gà nhà . cả lũ cũng không có kết_cục gì tốt được
Bạn nữ bị ai bóp cổ à?,0.0,22,bạn nữ bị ai bóp_cổ à ?
Chị có chim không .... sao nhìn gớm gớm....,1.0,43,chị có chim không ... . sao nhìn gớm gớm ... .
Cô Trần Thị Nga bị nhà cầm tiền Việt Nam bắt tù đày chỉ có một tội duy nhất đó là....!,1.0,86,cô trần thị nga bị nhà cầm tiền việt nam bắt tù_đày chỉ có một tội duy_nhất đó là ... . !
Một trận đấu mà nhiều người Đông Nam Á xem trên truyền hình mà lại thuê ông trọng tài nghiệp dư vào bắt trận đang xem nhất Đông Nam Á giữa Việt Nam gặp Thái Lan.. Ông trọng tài người Quatas..mà U23 Quatas..thua Việt Nam ở giai u23 Châu Á.. Giờ là lúc ông ấy lên tiếng,0.0,267,một trận_đấu mà nhiều người đông nam á xem trên truyền_hình mà_lại thuê ông trọng_tài nghiệp_dư vào bắt trận đang xem nhất đông nam á giữa việt nam gặp thái lan . . ông trọng_tài người quatas . . mà u23 quatas . . thua việt nam ở giai u23 châu á . . giờ là lúc ông ấy lên_tiếng
Một  phút  bóc  đồng  bằng  cả  đời  bóc  cức  😂,1.0,48,một phút bóc đồng_bằng cả đời bóc cức 😂
Đụ me ngu còn ghi xàm . Nó lấp đất đầy cái đồng tháp mười chứ làm thinh cái c**.,2.0,80,đụ me ngu còn ghi xàm . nó lấp đất đầy cái đồng tháp mười chứ làm_thinh cái c * * .
Trời ơi kg ai xấu bằng con quỉ cái miệng rộng. Mở miệng ra dơ dái mất dạy. Nhà khổ thấy mẹ chắc đeo ba vàng giả chứ gì.,2.0,119,trời ơi kg ai xấu bằng con quỉ cái miệng rộng . mở_miệng ra dơ dái mất_dạy . nhà khổ thấy mẹ chắc đeo ba vàng giả chứ gì .
Tài Nguyễn còn non và xanh lứm 🤣,0.0,32,tài nguyễn còn non và xanh lứm 🤣
"chả ra thể thống gì, người vô học nói chuyện đúng thiểu năng",2.0,60,"chả ra thể_thống gì , người vô_học nói_chuyện đúng_thiểu_năng"
"k phải tôi cao mà nói thẳng là thằng gia trưởng, con gái nào vớ phải thằng này muôn kiếp ở dưới bếp không lên nổi nhà trên. Nó chỉ đi làm công nhân thôi, không bao giờ làm sếp được, không bao giờ nhận sai.",1.0,205,"không phải tôi cao mà nói_thẳng là thằng gia_trưởng , con_gái nào vớ phải thằng này muôn kiếp ở dưới bếp không lên nổi nhà trên . nó chỉ đi làm công_nhân thôi , không bao_giờ làm sếp được , không bao_giờ nhận sai ."
Quá khứ của ma vương,0.0,20,quá_khứ của ma_vương
Nói mấy người nghèo cho chết đói. V trc đó gửi đồ về cho minh hiếu làm từ thiện dell gì,1.0,87,nói mấy người nghèo cho chết đói . v trc đó gửi đồ về cho minh hiếu làm từ_thiện dell gì
L** mày cho chó nó còn không Liếm nữa có đâu mà mày đưa lộn cho người ta ăn con thú vật đầu thai,2.0,96,l * * mày cho chó nó còn không liếm nữa có đâu mà mày đưa lộn cho người_ta ăn con thú_vật đầu_thai
buồn thật,0.0,9,buồn thật
Xl qq,1.0,5,xl qq
Thương cô gái,0.0,13,thương cô gái
Cái đám chết chạy đấy thì nó ghét cs đến xương tuỷ còn gửi tiền về? Gửi đc bn khi làm nail culi lo cuộc sống chưa xong dư dả quá ha :)) còn Việt kiều thành đạt kiếm tiền còn gửi về tổ quốc thì chắc chắn ko có time mà lên fb share 3 cái tin rồi chửi ch,2.0,251,cái đám chết chạy đấy thì nó ghét cs đến xương_tuỷ còn gửi tiền về ? gửi được bạn khi làm nail culi lo cuộc_sống chưa xong dư_dả quá ha : ) ) còn việt_kiều thành_đạt kiếm tiền còn gửi về tổ_quốc thì chắc_chắn không có time mà lên fb share 3 cái tin rồi chửi ch
ngầu quá anh ơi,0.0,15,ngầu quá anh ơi
Người tốt nhiệt tình quá dễ bị lừa !,0.0,36,người tốt nhiệt_tình quá dễ bị lừa !
Nguyen Nhan ba cha con cái mặt ác hết sức ác,2.0,44,nguyen nhan ba cha con_cái mặt ác hết_sức ác
 mày có cặp mắt chỉ để cho có đủ bộ phận thôi ah,1.0,48,mày có cặp mắt chỉ để cho có đủ bộ_phận thôi ah
 đánh rank vàng còn bị bón hành cho ngập mồm.. Hecerim đi rừng 2/17 xong bảo đi trái lean.. nếu là trình DCT thật sự thì cho dù có đi đâu vẫn hành đc bọn rank thấp.. thằng này cày từ BK1 xuống Vàng thì có á :)))),1.0,212,đánh rank vàng còn bị bón hành cho ngập mồm . . hecerim đi rừng 2 / 17 xong bảo đi trái lean . . nếu là trình dct thật_sự thì cho_dù có đi đâu vẫn hành được bọn rank thấp . . thằng này cày từ bk1 xuống vàng thì có á : ) ) ) )
"Đang họp nhưng kín, éo cho phóng viên vào. ĐM.",1.0,46,"đang họp nhưng kín , éo cho phóng_viên vào . đm ."
" m buồn cười nhỉ, idol chúng m làm sai xong bắt ngta phải đi tìm idol chúng m :)))",0.0,82,"m buồn_cười nhỉ , idol chúng m làm sai xong bắt ngta phải đi tìm idol chúng m : ) ) )"
Fake ae,0.0,7,fake anh_em
Địt cụ mày trọng tại như lồn ý,2.0,30,địt cụ mày trọng tại như lồn ý
Bắt được mấy thằng này đem đập đầu khỏi giải đi đâu đúng là quá khốn nạn,2.0,72,bắt được mấy thằng này đem đập đầu khỏi giải đi đâu đúng là quá khốn_nạn
Gần 30t rồi mà vẫn hãm địt mẹ mày đẻ ra đau lồn,2.0,47,gần 30t rồi mà vẫn hãm địt_mẹ mày đẻ ra đau lồn
Minh hiếu nói chuyện duyên dáng quá,0.0,35,minh hiếu nói_chuyện duyên_dáng quá
Miền trung tao là nhất miền tây miền nam như cc,2.0,47,miền trung tao là nhất miền tây miền nam như cc
Lúc nó đi ngược chiều nó tông cho rồi kêu chó vàng giúp. Quyền lợi thì muốn mà còn pháp luật thì k muốn tuân thủ,2.0,112,lúc nó đi ngược chiều nó tông cho rồi kêu chó vàng giúp . quyền_lợi thì muốn mà còn pháp_luật thì không muốn tuân_thủ
Cố vấn cấp cao cho đàn c hó,1.0,27,cố_vấn cấp cao cho đàn c hó
Đánh ngu thì chết chứ cay j,1.0,27,đánh ngu thì chết chứ cay gì
xin loi cc,1.0,10,xin loi cc
Đm,1.0,2,đm
Suc vat là có thật,1.0,18,suc vat là có thật
"má nó vào đọc vnexpress toàn lũ bợ đít cho chúng nó ko,chúc mừng đồ,lạy mấy cô hồn.",2.0,83,"má nó vào đọc vnexpress toàn lũ bợ_đít cho chúng_nó ko , chúc_mừng đồ , lạy mấy cô_hồn ."
"t tưởng bọn m đòi bình đẳng giới, đòi nữ quyền thì bọn t cx có quyền nói lại m. Thế mà đụng vô lại kêu ""thằng đàn bà""..haizz thì ra đàn bà TRONG MẮT MÀY là nơi tụ họp những cái xấu à, tiêu chuẩn kép ít thôi",0.0,206,"t tưởng bọn m đòi bình_đẳng giới , đòi nữ quyền thì bọn t cũng có quyền nói lại m . thế_mà đụng vô_lại kêu "" thằng đàn_bà "" . . haizz thì ra đàn_bà trong mắt mày là nơi tụ_họp những cái xấu à , tiêu_chuẩn kép ít thôi"
Tham nhũng kỳ diệu :3,1.0,21,tham_nhũng kỳ_diệu : 3
Đhs nói ngu vl :))),1.0,19,đhs nói ngu vl : ) ) )
Sory cái con mẹ nhà mày,2.0,23,sory cái con_mẹ nhà mày
Nay thang này ac qa..ngta bán xôi cug lay..,0.0,43,nay thang này ac qa . . ngta bán xôi cug lay . .
Tùng Xhaka Arsenal đi rồi a tùng ạ,0.0,34,tùng xhaka arsenal đi rồi a tùng ạ
Xin lỗi vì thích em vào thời điểm anh k có gì trong tay,0.0,55,xin_lỗi vì thích em vào thời_điểm anh không có gì trong tay
Dân chống nhưng quan chức không chống,0.0,37,dân chống nhưng quan_chức không chống
Nhà bán hàng vòng quanh toàn thờ ơ,0.0,34,nhà bán hàng vòng_quanh toàn thờ_ơ
"K muốn game, k muốn phim, k nhạc và cũng không thể ngủ một mớ hỗn độn cảm giác khó chịu",0.0,87,"không muốn game , không muốn phim , không nhạc và cũng không_thể ngủ một mớ hỗn_độn cảm_giác khó_chịu"
khổ thân anh tôi 🤣,0.0,18,khổ_thân anh tôi 🤣
Đúng rồi.Chứ k phải do mấy thằng bụng bầu rước giặc về diệt chủng đồng bào đâu,2.0,78,đúng rồi . chứ không phải do mấy thằng bụng bầu rước giặc về diệt chủng đồng_bào đâu
"Nguyễn Lê Vĩnh Hưng dell biết so sánh lứa cầu thủ năm 2022 với lứa cầu thủ năm nay à đồ nguu. Lứa 2022 cũng từng thất bại bị chửi nhiều vch rồi, và lứa 2022 cũng nhiều ngôi sao gánh team nữa nha đồ nguuu",1.0,203,"nguyễn lê vĩnh hưng dell biết so_sánh lứa cầu_thủ năm 2022 với lứa cầu_thủ năm nay à đồ nguu . lứa 2022 cũng từng thất_bại bị chửi nhiều vch rồi , và lứa 2022 cũng nhiều ngôi_sao gánh team nữa nha_đồ nguuu"
bị tâm thần vẫn có thể có học vị TS nhé. Cám ơn TS Vũ Tiến Lộc đã mang lại niềm tin cho cộng đồng bệnh nhân tâm thần.,0.0,137,bị tâm_thần vẫn có_thể có học_vị ts nhé . cám_ơn ts vũ tiến lộc đã mang lại niềm tin cho cộng_đồng_bệnh_nhân_tâm_thần .
xin lỗi cái gì ???,0.0,18,xin_lỗi cái gì ? ? ?
Xin lỗi mà song à,0.0,17,xin_lỗi mà song à
"chia buồn cùng gia đình kid xanh cỏ hết , sv nghèo hèn muôn đời nát",2.0,67,"chia buồn cùng gia_đình kid xanh cỏ hết , sv nghèo_hèn muôn_đời nát"
Thương cho vk tôi,0.0,17,thương cho vk tôi
"Khốn nạn thật, báo ứng sẽ đến sớm với lũ ham ăn nhác làm chuyên đi lừa đảo ăn cướp của người khác",2.0,97,"khốn_nạn thật , báo_ứng sẽ đến sớm với lũ ham ăn nhác làm chuyên đi lừa_đảo ăn_cướp của người khác"
 chữ nghĩa không tới đâu,0.0,24,chữ_nghĩa không tới đâu
anh em có phúc cùng hưởng có họa tự chịu hehe ,0.0,46,anh_em có phúc cùng hưởng có họa tự chịu hehe
idol Tiger mau về Việt Nam với chúng cháu nha. thấy rất quý bác.,0.0,64,idol tiger mau về việt_nam với chúng cháu nha . thấy rất quý bác .
nó chơi luật rừng thì mình chơi luật rừng! mạng đổi mạng! đéo phải nói nhiều! Bức xúc làm cc gì,1.0,95,nó chơi luật_rừng thì mình chơi luật_rừng ! mạng đổi mạng ! đéo phải nói nhiều ! bức_xúc làm cc gì
Vĩn biệt cụ:)),0.0,14,vĩn biệt cụ : ) )
Bố thằng Trâu Dê Nổ,2.0,19,bố thằng trâu dê nổ
Bạn nữ mà rên thì :)),0.0,21,bạn nữ mà rên thì : ) )
thế mày nghĩ nó quan tâm đến việc mày vội hay ko vội à. ngu v k l :v,1.0,68,thế mày nghĩ nó quan_tâm đến việc mày vội hay không vội à . ngu v không l : v
"Đm đánh thì ngu, mồm thì tinh tướng, thua là khóc lóc đổ lỗi, trông m đần vcl ra",2.0,80,"đm đánh thì ngu , mồm thì tinh_tướng , thua là khóc_lóc đổ lỗi , trông m đần vcl ra"
Anh Sẽ Đến 100 củ to quá,0.0,24,anh sẽ đến 100 củ to quá
Sủa hay lắm ad,1.0,16,sủa hay lắm admin
tình yêu hãy nói về nhism korea,0.0,31,tình_yêu hãy nói về nhism korea
caitlyn mà nó lên giảm hồi máu thì ko có chuyện hồi đến tận 1k8 máu như kia đâu,0.0,79,caitlyn mà nó lên giảm hồi máu thì không có chuyện hồi đến tận 1k8 máu như kia đâu
Chị 3 cho e 200 triệu đi làm chymmm đi huhuh,0.0,44,chị 3 cho e 200 triệu đi làm chymmm đi huhuh
"Đm nứng lòn ghê dị hà, ngta đánh đôi 3 đi đánh đôi heo, dừa lòn 🤣",1.0,65,"đm nứng lòn ghê dị hà , ngta đánh_đôi 3 đi đánh_đôi heo , dừa lòn 🤣"
tôi với bạn làm kèo không mà bảo tôi clone,0.0,42,tôi với bạn làm kèo không mà bảo tôi clone
Qua tan nhan,1.0,12,qua tan nhan
Mẹo m bé,1.0,8,mẹo m bé
Giàu thật đấy .. nhưng đầu không có não..khinh,1.0,46,giàu thật đấy . . nhưng đầu không có não . . khinh
chị này lấy văn mẫu ở đâu vậy,0.0,29,chị này lấy văn mẫu ở đâu_vậy
okee a ưii,0.0,10,okee a ưii
"cái đmm nhé ad, đừng có vơ đũa cả nắm, ăn cứt cả đống nhé con. 4.5 tr Đảng viên k phải ai cũng xấu mà để m nói cái giọng của loại chó đấy. cái page chó bẩn ngu si này. m ra xem ngoài xã hội đầy Đảng viên vẫn nai lưng đi làm để nuôi đầy cái giống đéo ph",2.0,252,"cái đmm nhé ad , đừng có vơ đũa_cả nắm , ăn cứt cả đống nhé con . 4.5 tr đảng_viên không phải ai cũng xấu mà để m nói cái giọng của loại chó đấy . cái page chó bẩn ngu_si này . m ra xem ngoài xã_hội đầy đảng_viên vẫn nai_lưng đi làm để nuôi đầy cái giống đéo ph"
m là đứa mõm chó ăn cức,2.0,23,m là đứa mõm chó ăn cức
bóng già chuyển giới. CÔ CÔ nghe mắc ỉa. súc vật lũ bongs chó tởm lợm,2.0,69,bóng già chuyển giới . cô cô nghe mắc ỉa . súc_vật lũ bongs chó tởm_lợm
cái bọn cướp ngày thì muốn làm gì chẳng được,2.0,44,cái bọn cướp ngày thì muốn làm gì chẳng được
Người nhật mà còn có thể loại ko não này thì bảo sao VN lại ko ..chán dell muốn nói,1.0,83,người nhật mà còn có_thể_loại không não này thì bảo sao vn lại không . . chán dell muốn nói
Xe phải có thêm khoá đĩa hoặc xích dây dài nó lấy cũng còn lâu,0.0,62,xe phải có thêm khoá đĩa hoặc xích dây dài nó lấy cũng còn lâu
Việt Nam sướng lắm ai ơi-chỉ cần trộm cướp no nê ấm lòng-Không làm mà cũng có ăn- 1 lần trộm cướp bằng 3 năm làm “ tự hào quá vn ơi “,0.0,133,việt nam sướng lắm ai ơi - chỉ cần trộm_cướp no_nê ấm lòng - không làm mà cũng có_ăn - 1 lần trộm_cướp bằng 3 năm làm “ tự_hào quá vn ơi “
"﻿Từng được giúp không lấy một đồng, giờ Jack quên hết ơn nghĩa sao? Tóm tắt livestream mới nhất: https://tinhotnew.com/viruss-livestream-moi-nhat",0.0,145,"﻿ từng được giúp không lấy một đồng , giờ jack quên hết ơn_nghĩa sao ? tóm_tắt livestream mới nhất :"
"là chó,cặn bã nhất của xã hội thì đúng hơn",2.0,42,"là chó , cặn_bã nhất của xã_hội thì đúng hơn"
Quá hay cho mấy anh Hàn Quốc,0.0,28,quá hay cho mấy anh hàn_quốc
Lu căn bả,2.0,9,lu căn bả
"Thằng chó, không biết xấu hổ",2.0,28,"thằng chó , không biết xấu_hổ"
Mày vì usd ma ban linh hon,1.0,26,mày vì usd ma_ban linh hon
Acc fake ae,0.0,11,acc fake anh_em
Thành Nguyễn mong PL can thiệp và xử lý triệt để để đòi lại công bằng cho cháu,0.0,78,thành nguyễn mong pl can_thiệp và xử_lý triệt_để để đòi lại công_bằng cho cháu
không chú nào quỳ bố nó xuống nước cho ổng dẫm lên lưng bước qua...như vậy có thể mau lên chức hay sớm được chiếu cố hơn! quan nhà sản có khác...bị khuyết tật!,1.0,159,không chú nào quỳ bố nó xuống_nước cho ổng dẫm lên lưng bước qua ... như_vậy có_thể mau lên chức hay sớm được chiếu_cố hơn ! quan nhà sản có khác ... bị khuyết_tật !
Cai mat nha tien tri Tran Dan.nhin giong cai phau cau ga cong nghiep wa mn oi,2.0,77,cai mat nha tien tri tran dan . nhin giong cai phau cau ga cong nghiep wa mọi người oi
bắt sai còn xin lỗi dùm nó,1.0,26,bắt sai còn xin_lỗi dùm nó
xin địt mẹ m,2.0,12,xin địt_mẹ m
Nguyễn Quốc An thứ học trò lồn,2.0,30,nguyễn quốc an thứ học_trò lồn
Sang hết đây :)),0.0,16,sang hết đây : ) )
Nấu nổi canh chua như cái bả lồn vậy ai dám ăn. Tao nói hả cái mặt của mày nhìn như trái hủ qua,2.0,95,nấu nổi canh chua như cái bả lồn vậy ai dám ăn . tao nói hả cái mặt của mày nhìn như trái hủ qua
"ủa alo bắt kiểu gì vậy ông trọng tài , hám tiền đến mức đó?",0.0,59,"ủa alo bắt kiểu gì vậy ông trọng_tài , hám tiền đến mức đó ?"
Hong Vann Thì anh tôi mà 🤣🤣,0.0,27,hong vann thì anh tôi mà 🤣 🤣
đkm đứa nào bảo idol trần dần t mắc covid đấy :v,1.0,55,đkm đứa nào bảo idol trần dần t mắc covid đấy : v
Ông chủ cà phê TRUNG NGUYÊN lúc này,0.0,35,ông chủ cà_phê trung_nguyên lúc này
"Lại sủi, đúng quy trình rồi đấy",0.0,31,"lại sủi , đúng quy_trình rồi đấy"
Vô văn hoá vl nè =)))),1.0,22,vô văn_hoá vl nè = ) ) ) )
Woh Wh đễ sức ăn giỗ bà già mầy Dắk con à,2.0,41,woh wh đễ sức ăn giỗ bà_già mầy dắk con à
Suốt ngày đi làm ô xin như con chó bên mỹ mà bị đá dập mu 2 lần rồi nên đi đái cũng khó sợ nó nhức,1.0,98,suốt ngày đi làm ô xin như con chó bên mỹ mà bị đá dập mu 2 lần rồi nên đi đái cũng khó sợ nó nhức
Trọng tài kiểu gì thủ môn ra nửa sân bắt bóng.. Luật mới trong bóng đá mà ông trọng tài này đưa ra sao,0.0,102,trọng_tài kiểu gì thủ_môn ra nửa sân bắt bóng . . luật mới trong bóng_đá mà ông trọng_tài này đưa ra sao
"Chỗ sân đá bóng có người không, mà sao không ai can thiệp,3 cha con tan ác đó vậy trời, ỷ mình có tiền xem mạng người như là rát",1.0,128,"chỗ sân đá bóng có người không , mà sao không ai can_thiệp , 3 cha con tan ác đó vậy trời , ỷ mình có tiền xem mạng người như là rát"
Nguyễn Mạnh im nào con tinh trùng bé nhỏ của bố con sắp dc sống r sống nhớ làm người nha chứ làm dum dum thì động vậ đơn bào làm đc rồi tiến hóa làm chi uổng,1.0,157,nguyễn mạnh im nào con tinh_trùng bé_nhỏ của bố con sắp được sống r sống nhớ làm người nha chứ làm dum dum thì động vậ đơn_bào làm được rồi tiến_hóa làm_chi uổng
Biến đi thằng âm binh,1.0,21,biến đi thằng âm_binh
Mat lon linh ca loc nay choi xuong lam,2.0,38,mat lon linh ca loc nay choi xuong lam
"Mong nhà tiên tri  luôn luôn khỏe mạnh, tránh được dịch bệnh.",0.0,61,"mong nhà tiên_tri luôn_luôn khỏe_mạnh , tránh được dịch_bệnh ."
Thằng óc chó thường có fans óc chó theo sau :))),2.0,48,thằng óc chó thường có fans óc chó theo sau : ) ) )
Ngu vc cố đánh làm đ j,1.0,22,ngu vc cố đánh làm đ gì
Mặt chuột kẹp ngu như bò,2.0,24,mặt chuột kẹp ngu như bò
Trần Sang ổ cc,1.0,14,trần sang ổ cc
Giờ mày xin lỗi thì cũng muộn rồi,0.0,33,giờ mày xin_lỗi thì cũng muộn rồi
"Bọn khốn nạn không có đạo đức nó còn vào tận nhà nó lừa đảo cướp bóc, ở ngoài đường có là gì",2.0,92,"bọn khốn_nạn không có đạo_đức nó còn vào tận nhà nó lừa_đảo cướp_bóc , ở ngoài đường có là gì"
Cuộc sống ai lường trc điều gì :((,0.0,34,cuộc_sống ai lường trc điều gì : ( (
Ok Haha đừng nhé em,0.0,19,ok haha đừng nhé em
Chị 3 ơi trã tiền cho cô minh hiều kìa,0.0,38,chị 3 ơi trã tiền cho cô minh hiều kìa
Đume có mắt như mù à tiền là cái loz gì mà thik chơi thì dell công bằng ở đấy mà xàm loz hay gì ăn tiền cho đã rồi quay qua xin lỗi ủa vậy có não ko vậy hay não vứt cho c.h.ó gặm roiif,2.0,184,đume có mắt như mù à tiền là cái loz gì mà thik chơi thì dell công_bằng ở đấy mà xàm loz hay gì ăn_tiền cho đã rồi quay qua xin_lỗi ủa vậy có não không vậy hay não vứt cho c . h . ó gặm roiif
Giống thằng cha warwick đánh ngu live bên hàn ngày xưa,1.0,54,giống thằng_cha warwick đánh ngu live bên hàn ngày_xưa
Gài bẫy,0.0,7,gài bẫy
Tàn bạo quá,1.0,11,tàn_bạo quá
trung bình + của mấy cái thể loại hông thèm suy ngỉ nào đấy trước khi cmt =)) trên wall fb đăng đạo lý như thật để tạo lớp mặt nạ nào đấy =)) cái loại 2 mặt nhìn tởm vl thề =)),2.0,176,trung_bình + của mấy cái thể_loại hông thèm suy ngỉ nào đấy trước khi cmt = ) ) trên wall fb đăng đạo_lý như thật để tạo lớp mặt_nạ nào đấy = ) ) cái loại 2 mặt nhìn tởm vl thề = ) )
Bảo sao bị bắt dân nó đánh chết cũng đáng,1.0,41,bảo sao bị bắt dân nó đánh chết cũng đáng
HLV OC CHO!,2.0,11,hlv oc cho !
Đủ cách lừa,0.0,11,đủ cách lừa
Đjt mịa thằng Trâu dê,2.0,21,đjt mịa thằng trâu dê
ờ ờ sủa cho cố vào mà đéo biết lũ nam kì chúng m đều từ bọn t mà ra đo cu,2.0,73,ờ ờ sủa cho cố vào mà đéo biết lũ nam kì chúng m đều từ bọn t mà ra đo cu
